Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
SP.ADO.TFRT,14.2316,13.6728,13.114,12.9652,12.8164,12.6676,12.5188,12.37,11.8502,11.3304,10.8106,10.2908,9.771,9.4294,9.0878,8.7462,8.4046,8.063,8.0694,8.0758,8.0822,8.0886,8.095,7.8568,0
SE.SEC.UNER.LO.ZS,0,0,0,0,0,0,0,0.34916,0.23088,0.084,0.72279,1.72993,2.90346,2.46548,2.19491,2.59137,3.35749,2.13488,3.13701,4.26125,4.6814,4.64572,4.71585,0,0
SE.SEC.UNER.LO.FE.ZS,0,0,0,0,0,0,0,0.56209,0.38724,0.15801,0.85202,1.83604,3.03116,2.56038,2.26326,2.57183,3.41428,1.95131,2.87729,3.87577,4.18165,4.0682,4.15464,0,0
SE.SEC.UNER.LO.MA.ZS,0,0,0,0,0,0,0,0.14591,0.08171,0.01343,0.59957,1.62873,2.78165,2.37497,2.12974,2.61,3.30338,2.30922,3.38296,4.62535,5.15226,5.18861,5.24095,0,0
SH.HIV.INCD.TL,2000,2000,2000,1900,1700,1800,2400,2800,3100,3700,3900,4000,3900,3300,3100,2900,2800,2900,3000,3000,2900,2900,2700,2600,0
SH.HIV.INCD,2000,2000,2000,1900,1700,1800,2300,2800,3100,3700,3900,4000,3900,3300,3100,2900,2800,2900,3000,3000,2900,2900,2600,2600,0
SP.POP.DPND,46.4859376600659,46.6495472831502,46.8006005107068,46.9541252104847,47.1448077339225,47.4073731274062,47.9159592304807,48.4284355776905,48.9446014211877,49.4440472933971,49.8912304037017,50.364740559451,50.8030262315896,51.2010395606892,51.5319812559294,51.7937457997838,52.0097511222545,52.0953973406867,52.1320952080022,52.2446834584225,52.5216312802673,52.9145728699203,53.4264177539329,54.0428361206484,0
SP.POP.DPND.OL,22.6689474397062,22.9965780269489,23.245023314223,23.4845001173345,23.8181537872685,24.3048711550328,24.9972702430629,25.8202925865887,26.7087848343412,27.5525374329753,28.2819634656513,29.0552551254535,29.7156578626165,30.2757613826892,30.761912978356,31.1977891259216,31.4743040219526,31.6738497635118,31.8512570682085,32.069067171767,32.3629413335533,32.5535393490187,32.7895079698411,33.0606141554973,0
SP.POP.DPND.YG,23.8169902203597,23.6529692562012,23.5555771964838,23.4696250931502,23.326653946654,23.1025019723734,22.9186889874178,22.6081429911018,22.2358165868465,21.8915098604218,21.6092669380504,21.3094854339975,21.0873683689731,20.925278178,20.7700682775734,20.5959566738622,20.5354471003019,20.4215475771749,20.2808381397937,20.1756162866554,20.158689946714,20.3610335209017,20.6369097840917,20.9822219651511,0
AG.LND.IRIG.AG.ZS,0,0,0,0,0,0,0,0,0,0,0,1.38439753395206,0,0,2.20893047494966,0,0,0,2.18961493743496,0,0,2.71237310315765,0,0,0
AG.LND.AGRI.ZS,49.6791750214838,49.6634105817984,49.6404526572124,49.776517105037,49.1489483638031,48.9124516406362,48.8220120378332,48.6355558103537,48.7400017201342,48.7799982796686,48.8330083725198,48.5948612066988,48.6133019760805,48.5356968706078,48.4380826711798,47.9100324181656,47.9659169153087,47.8108681930338,47.8588626461821,47.9363714531384,47.9592062964195,47.6786123196703,0,0,0
AG.LND.AGRI.K2,173430,173370,173270,173730,171520,170680,170340,169670,170010,170130,170310,169460,169500,169210,168860,167000,167190,166640,166970,167250,167310,166570,0,0,0
AG.AGR.TRAC.NO,1215700,1190000,1116023,1072211,1030775,989488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AG.LND.TRAC.ZS,1027.20743557245,1005.49218419941,943.224306964165,902.610489098409,871.912535949924,838.264994916977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EN.ATM.METH.AG.ZS,36.2800489430307,37.4568441714843,38.3070861296215,39.1232126862236,40.2391338694143,41.6985490336419,43.5322579196038,45.1559007494265,45.9148690765949,46.5664100038008,47.9599807518135,48.7270785234834,48.9706529276139,50.2192717378241,0,0,0,0,0,0,0,0,0,0,0
EN.ATM.METH.AG.KT.CE,33583.6794255357,33361.7248550601,33236.7602095048,32480.1302953155,32257.983340353,31777.6719461069,31568.2874755591,31055.1579342046,30449.2259809182,29671.6973567318,29622.0025115501,29267.2862631095,29183.8157589469,28960.8513799423,0,0,0,0,0,0,0,0,0,0,0
EN.ATM.NOXE.AG.ZS,41.2592958293411,40.2777690586662,40.3307506931202,53.0489796069786,58.9377817364993,56.5493260338535,59.7924741511166,59.2165379697815,58.3801483919641,57.3703422871768,57.5985828661962,56.9601574655146,57.5111027839905,57.5097040040295,0,0,0,0,0,0,0,0,0,0,0
EN.ATM.NOXE.AG.KT.CE,30302.588629,30247.847341,30619.577796,31030.745986,31640.488799,30500.076919,30296.54769,29863.740973,29745.981645,29741.17556,29527.562155,29121.877307,28856.046293,28669.754893,0,0,0,0,0,0,0,0,0,0,0
